academic_year,provider_slug,download_url,bytes
2024-25,aston-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/aston-university/grant-data-tables,4293
2024-25,bath,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bath/grant-data-tables,4851
2024-25,bath-spa-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bath-spa-university/grant-data-tables,4493
2024-25,bedfordshire,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bedfordshire/grant-data-tables,4257
2024-25,birkbeck-university-of-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/birkbeck-university-of-london/grant-data-tables,5760
2024-25,birmingham,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/birmingham/grant-data-tables,6850
2024-25,birmingham-city-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/birmingham-city-university/grant-data-tables,5180
2024-25,birmingham-newman-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/birmingham-newman-university/grant-data-tables,3808
2024-25,bishop-grosseteste-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bishop-grosseteste-university/grant-data-tables,3794
2024-25,bolton,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bolton/grant-data-tables,3470
2024-25,bournemouth-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bournemouth-university/grant-data-tables,5260
2024-25,bradford,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bradford/grant-data-tables,4179
2024-25,brighton,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/brighton/grant-data-tables,4596
2024-25,bristol,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/bristol/grant-data-tables,6782
2024-25,brunel-university-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/brunel-university-london/grant-data-tables,5884
2024-25,buckinghamshire-new-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/buckinghamshire-new-university/grant-data-tables,4030
2024-25,cambridge,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/cambridge/grant-data-tables,7447
2024-25,canterbury-christ-church-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/canterbury-christ-church-university/grant-data-tables,5374
2024-25,chester,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/chester/grant-data-tables,5095
2024-25,chichester,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/chichester/grant-data-tables,3935
2024-25,city-university-of-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/city-university-of-london/grant-data-tables,5812
2024-25,courtauld-institute-of-art,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/courtauld-institute-of-art/grant-data-tables,3503
2024-25,coventry-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/coventry-university/grant-data-tables,4828
2024-25,cranfield-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/cranfield-university/grant-data-tables,3821
2024-25,cumbria,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/cumbria/grant-data-tables,3713
2024-25,de-montfort-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/de-montfort-university/grant-data-tables,5206
2024-25,derby,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/derby/grant-data-tables,4286
2024-25,durham-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/durham-university/grant-data-tables,6444
2024-25,east-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/east-london/grant-data-tables,4974
2024-25,edge-hill-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/edge-hill-university/grant-data-tables,4879
2024-25,essex,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/essex/grant-data-tables,5332
2024-25,exeter,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/exeter/grant-data-tables,6643
2024-25,falmouth-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/falmouth-university/grant-data-tables,3356
2024-25,gloucestershire,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/gloucestershire/grant-data-tables,4510
2024-25,goldsmiths-university-of-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/goldsmiths-university-of-london/grant-data-tables,5875
2024-25,greenwich,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/greenwich/grant-data-tables,4987
2024-25,guildhall-school-of-music-and-drama,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/guildhall-school-of-music-and-drama/grant-data-tables,3887
2024-25,harper-adams-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/harper-adams-university/grant-data-tables,3524
2024-25,hartpury-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/hartpury-university/grant-data-tables,3261
2024-25,health-sciences-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/health-sciences-university/grant-data-tables,3388
2024-25,hertfordshire,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/hertfordshire/grant-data-tables,4852
2024-25,huddersfield,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/huddersfield/grant-data-tables,5769
2024-25,hull,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/hull/grant-data-tables,4916
2024-25,imperial-college-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/imperial-college-london/grant-data-tables,5182
2024-25,institute-of-cancer-research,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/institute-of-cancer-research/grant-data-tables,3910
2024-25,keele-university,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/keele-university/grant-data-tables,5345
2024-25,kent,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/kent/grant-data-tables,6260
2024-25,kings-college-london,https://funding.re.ukri.org/files/download/grant-data-tables-2024-to-2025/kings-college-london/grant-data-tables,7297
